name,id,planetary,decivRemove,script,desc,icon,order
#Templar Control,exerelin_templar_control,,,exerelin.campaign.econ.TemplarControl,The Templars exert all-pervasive control over every aspect of the markets they hold. Increases stability and removes stability penalty from smuggling. Creates some demand for marines to enforce order.,graphics/templars/icons/intel/tem_crusade_event.png,31
Восстание,nex_rebellion_condition,,TRUE,exerelin.campaign.econ.RebellionCondition,"На $market идёт восстание.

- Стабильность снижена на $stabilityPenalty
- Повышенные цены на десант, тяжёлое вооружение и припасы; продажи на чёрном рынке укрепят повстанцев, прямые продажи должностным лицам базы укрепят правительство",graphics/icons/markets/pirate_moot.png,1002
Набеги,nex_raid_condition,,TRUE,exerelin.campaign.econ.RaidCondition,"В системе действуют враждебные рейдовые флоты, нарушающие торговлю и другие виды деятельности.",graphics/icons/markets/pirate_activity.png,1301
Усиленная оборона,nex_reinforced_defenses,,TRUE,exerelin.campaign.econ.ReinforcedDefenses,"Наземная оборона $market была усилена личным составом и тяжелым вооружением, вероятно, в преддверии враждебного вторжения.",graphics/icons/markets/mercenaries.png,1004
Дань,nex_tribute,,TRUE,exerelin.campaign.econ.TributeCondition,"$market выплачивает регулярно дань местной доминирующей фракции за право продолжать существовать. Иностранные власти жестко ограничивают рост местного населения, чтобы колония оставалась «управляемого» размера.

Выплата дани может быть отменена, если игрок решит расторгнуть соглашение, или изменение обстоятельств сделает его неприменимым.",graphics/exerelin/icons/intel/lose_credits.png,1003
Состояние фракции,nex_faction_condition,,TRUE,exerelin.campaign.econ.FactionConditionPlugin,,,1005
,,,,,,,
# vanilla override,,,,,,,
Пиратская активность,pirate_activity,,TRUE,exerelin.campaign.intel.NexPirateActivity,"Появились признаки того, что пираты нацелены на судоходство и колонии в этой системе - от давления на портовых инспекторов, чтобы они закрывали глаза, до несоответствий в грузовых манифестах и других признаков возросшей преступной деятельности.

Скорее всего, у пиратов есть база где-то поблизости.",graphics/icons/markets/pirate_activity.png,1300
Комм-реле (скрытое),comm_relay,,TRUE,exerelin.campaign.econ.NexCommRelayCondition,"Скрытое условие, не требует значка.",,
