id,type,text1,text2,text3,notes
,,,,,
prisoner,RESOURCE,"Высокоценный военнопленный. Обменяйте на станции другой фракции, чтобы улучшить отношения вашей фракции с ними, или выкупите за деньги.",,,
agent,RESOURCE,"Скрытый оперативник, способный вмешиваться в дипломатические отношения других фракций или дестабилизировать их рынки.",,,
saboteur,RESOURCE,"Специальный агент-диверсант. Может повредить резервные флоты на рынках или уничтожить запасы продовольствия.",,,
plastics,RESOURCE,"Синтетические углеродные полимеры, легко формируемые и пригодные для многих применений.",,,
composites,RESOURCE,"Чрезвычайно прочные волокнистые материалы, образованные из органических соединений, используемые для таких вещей, как сверхпроводники и сверхпрочные конструкционные элементы.",,,
,,,,,
#star_blue,PLANET,"A rare B-type main sequence star, not quite a giant but still intensely luminous and short-lived.",,,
#star_yellowwhite,PLANET,"An F-type main sequence star, slightly bigger than Sol.",,,
#star_bluewhite,PLANET,"An A-type main sequence star, modestly bigger than Sol. Surface temperatures range between 7600 and 11 500  K.",,,
star_purple,PLANET,Purple Star,,,
star_dark,PLANET,Dark Star,,,
star_green,PLANET,Green Star,,,
star_greenwhite,PLANET,Green White Star,,,
,,,,,
#tundra,PLANET,"A cold, snowy planet just warm enough to support some plant and (very limited) animal life, particularly during summer periods. Most of the surface is permafrost.",,,
#terran-eccentric,PLANET,"A planet tidally locked to its sun. Judicious use of solar shades and mirrors allow for some colonization and resource extraction even in the day or night halves, but most of the population nevertheless remains confined to the narrow band of life along the terminator.",,,
#barren-desert,PLANET,"Barely habitable by organic life, this dry world has a dusty, noxious atmosphere and receives large amounts of solar radiation. It takes a particularly hardy engineered species to survive, much less thrive, on the the surface outside sealed domes.",,,
,,,,,
omnifactory,CUSTOM,"Древнее, высокоразвитое сооружение эпохи Домена, которое может производить (почти) любой корабль или оружие, как только получит образец для анализа. Omnifactories плохо изучены, и их очень жаждут.",,,
exerelin_prismFreeport,CUSTOM,"На этой станции находится уникальный, первоклассный рынок кораблей и оружия. Пока кого-то не очень волнует ""откуда"" (и у него достаточно глубокие карманы, чтобы позволить себе огромную наценку), он предоставляет уникальный выбор высококачественных предметов, которые вряд ли можно найти у защищенных военных продавцов.",,,
,,,,,
nex_defstation,SHIP,"Castellum — это легкая орбитальная оборонительная платформа модульной конструкции, обладающая значительной огневой мощью в корпусе скромного размера. Довольно низкая стоимость и простота сборки делают ее повсеместной в Секторе.",,,
nex_asgard,SHIP,"""Асгард"" - это полноценная боевая станция. Способная справиться с целыми ударными флотами и выйти из боя с незначительными повреждениями, она может похвастаться огромным арсеналом оружия, четырьмя полетными палубами, мощными генераторами щитов и целевыми суперкомпьютерами, которые позволяют ей уничтожать эсминцы и фрегаты еще до того, как они успеют сделать хотя бы один выстрел. Каждый отдельный модуль полностью настраивается, имеет модульные оружейные слоты и средства для ремонта и перевооружения любого типа истребителей, которые есть в Секторе.

Эта конкретная модель боевой станции когда-то использовалась Доменом для защиты важных объектов, от врат до гиперпространственных входов в населенные системы. Только один ""Асгард"" может отговорить от удара или вторжения - в противном случае атакующий рискует быть разорванным на куски бесконечным градом боеприпасов.

Лучший способ победить ""Асгард"" - это сосредоточить огонь на его модулях, так как их уничтожение уменьшает его подавляющую огневую мощь и может повредить соседние модули. В частности, в более крупных модулях находятся генераторы щитов и полетные палубы, но они также самые прочные. Рекомендуется использовать ЭМИ-оружие и прочные торпеды высокой мощности.",,,
,,,,,
nex_museum_ship,CUSTOM,"Непригодный для космических путешествий, этот старый корабль был разобран, покрашен заново и превращен в космический музей. Туристы платят за осмотр внутренностей корабля и различных выставок звездоплавателей.",,,
nex_memorial_beacon,CUSTOM,"Этот маяк отмечает место крупной битвы, произошедшей некоторое время назад. Несколько кораблей были оставлены в качестве мемориала погибшим, массивные надгробия дрейфуют в тихом воспоминании.",,,
,,,,,
nex_playerOutpost,CUSTOM,"Небольшая космическая станция модульной конструкции, предпочитаемая исследователями в качестве полупостоянного способа хранения припасов и тому подобного в отдаленных местах. Имеет минимальную защиту и полагается на скрытность, чтобы избежать грабителей.",,,
,,,,,
