command,class,tags,syntax,help
SpawnInvasionFleet,exerelin.console.commands.SpawnInvasionFleet,"campaign,nexerelin",spawninvasionfleet <source market> <target market>,Порождает флот вторжения из указанного исходного рынка к указанному целевому рынку.
SpawnRaidFleet,exerelin.console.commands.SpawnRaidFleet,"campaign,nexerelin",spawnraidfleet <source market> <target market>,Порождает рейдовый флот из указанного исходного рынка к указанному целевому рынку.
SpawnRespawnFleet,exerelin.console.commands.SpawnRespawnFleet,"campaign,nexerelin",spawnrespawnfleet [faction],"Порождает флот возрождения, который отправится к случайной подходящей цели. Попытается породить фракцию, в настоящее время отсутствующую в Секторе, если не указано иное."
SetMarketOwner,exerelin.console.commands.SetMarketOwner,"campaign,nexerelin",setmarketowner <entity> [owner],"Приводит к тому, что рынок, связанный с <entity>, будет захвачен [owner] или случайной живой фракцией, если не указано иное."
SyncRelationships,exerelin.console.commands.SyncRelationships,"campaign,nexerelin",syncrelationships,Синхронизирует отношения фракций в соответствии с отношениями игрока. Используйте после использования Save Transfer.
CreateDiplomacyEvent,exerelin.console.commands.CreateDiplomacyEvent,"campaign,nexerelin",creatediplomacyevent <faction1> <faction2> [stage],Создает новое дипломатическое событие между двумя фракциями. Укажите «stage» в качестве идентификатора для определенного типа события.
CreateAlliance,exerelin.console.commands.CreateAlliance,"campaign,nexerelin",createalliance <faction1> <faction2> [alignment],"Создает союз между двумя фракциями с указанным типом (случайным, если не указано). Если одна фракция уже состоит в союзе, вместо этого добавьте другую фракцию в ее союз. Ничего не делает, если обе фракции уже состоят в союзе."
LeaveAlliance,exerelin.console.commands.LeaveAlliance,"campaign,nexerelin",leavealliance <faction>,"Заставляет указанную фракцию покинуть свой союз, если он у нее есть."
ResetRelationships,exerelin.console.commands.ResetRelationships,"campaign,nexerelin",resetrelationships,"Сбрасывает отношения фракций, как если бы начиналась новая игра. Не работает для мод-фракций в режиме Корвуса."
PrintDeadOfficers,exerelin.console.commands.PrintDeadOfficers,"campaign,nexerelin",printdeadofficers,"Выводит информацию обо всех офицерах игрока, погибших в бою."
RetireCharacter,exerelin.console.commands.RetireCharacter,"campaign,nexerelin",retirecharacter,Отправляет вашего персонажа на пенсию и завершает игру.
StartVengeanceEvent,exerelin.console.commands.VengeanceEvent,"campaign,nexerelin",startvengeanceevent <faction> [level],Порождает флот возмездия для указанной фракции.
ReloadNexConfig,exerelin.console.commands.ReloadNexConfig,"campaign,nexerelin",reloadnexconfig,"Перезагружает файл exerelin_settings.json и открывает диалоговое окно для изменения некоторых настроек сектора Nexerelin (как если бы Nexerelin был добавлен к существующему сохранению)."
AddAgent,exerelin.console.commands.AddAgent,"campaign,nexerelin",addagent <market> [level [specialization]],Добавляет агента для игрока.
PrintDisposition,exerelin.console.commands.PrintDisposition,"campaign,nexerelin",printdisposition <faction1> <faction2>,Выводит «расположение» (скрытое дипломатическое значение) фракции 1 по отношению к фракции 2.
#,,,,
# Override default command,,,,
SetRelation,exerelin.console.commands.SetRelationship,"core,campaign",setrelation all|<faction> [optionalTowardsFaction] <amount>,"Устанавливает отношения между двумя фракциями на данное число. Если вторая фракция не указана, это влияет на отношения с игроком. Значения варьируются от -100 до 100."
